question,reply
"السلام عليكم 
اني عمري 13 سنه واني مواظبة على صلواتي اصلي صلاة الليل وركعتين اهديهن لصاحب الزمان وركعتين بنية التقرب الى الله يوميًا والدي يمنعي من صلاة الليل يقول صلي الواجبات لا اتزيدين اني ماتركتها لحد الان هل اتركها أو لا؟","السلام عليكم
يمكن لكِ الإتيان بها بعيدًا عن أنظاره."
"السلام عليكم..
ما هو حكم صلاة الجمعة عند السيد المحقق الخوئي رحمة الله عليه؟.
وما هي شروطها حسب رأيه؟","في صلاة الجمعة. و في فروعها:

الأول: صلاة الجمعة ركعتان،
كصلاة الصبح و تمتاز عنها بخطبتين قبلها، ففي الأولى منهما يقوم الامام و يحمد اللّه و يثني عليه و يوصي بتقوى اللّه و يقرأ سورة من الكتاب العزيز ثم يجلس قليلا، و في الثانية يقوم و يحمد اللّه و يثني عليه و يصلي على محمد (صلى اللّه عليه و آله) و على أئمة المسلمين (عليهم السلام) و يستغفر للمؤمنين و المؤمنات.
الثاني: يعتبر في القدر الواجب من الخطبة: العربية،
و لا تعتبر في الزائد عليه، و إذا كان الحاضرون غير عارفين باللغة العربية فالأحوط هو الجمع بين اللغة العربية و لغة الحاضرين بالنسبة إلى الوصية بتقوى اللّه.
الثالث: صلاة الجمعة واجبة تخييرا،
بمعنى: أن المكلف مخير يوم الجمعة بين إقامة صلاة الجمعة إذا توفرت شرائطها الآتية و بين الإتيان بصلاة الظهر، فإذا أقام الجمعة مع الشرائط أجزأت عن الظهر.
الرابع: يعتبر في وجوب صلاة الجمعة أمور:
1- دخول الوقت، و هو زوال الشمس على ما مر في صلاة الظهر إلى أن يصير ظل كل شيء مثله.
2- اجتماع سبعة أشخاص، أحدهم الامام، و إن كان تصح صلاة الجمعة من خمسة نفر أحدهم الإمام إلا أنه حينئذ لا يجب الحضور معهم.

3- وجود الإمام الجامع لشرائط الإمامة من العدالة و غيرها- على ما نذكرها في صلاة الجماعة.
الخامس: تعتبر في صحة صلاة الجمعة أمور:
1- الجماعة، فلا تصح صلاة الجمعة فرادى و يجزي فيها إدراك الإمام في الركوع الأول بل في القيام من الركعة الثانية أيضاً فيأتي مع الإمام بركعة و بعد فراغه يأتي بركعة أخرى.
2- أن لا تكون المسافة بينها و بين صلاة جمعة أخرى أقل من فرسخ فلو أقيمت جمعتان فيما دون فرسخ بطلتا جميعا إن كانتا مقترنتين زمانا و أما إذا كانت إحداهما سابقه على الأخرى و لو بتكبيرة الإحرام صحت السابقة دون اللاحقة، نعم إذا كانت إحدى الصلاتين فاقدة لشرائط الصحة فهي لا تمنع عن إقامة صلاة جمعة أخرى و لو كانت في عرضها أو متأخرة عنها.
3- قراءة خطبتين قبل الصلاة- على ما تقدم- و لا بد من أن تكون الخطبتان بعد الزوال، كما لا بد أن يكون الخطيب هو الإمام.
السادس: إذا أقيمت الجمعة في بلد واجدة لشرائط الوجوب و الصحة وجب الحضور على الأحوط،
نعم لا يجب الحضور حالة الخطبة على الأظهر.
السابع: يعتبر في وجوب الحضور أمور:
1- الذكورة، فلا يجب الحضور على النساء.
2- الحرية، فلا يجب على العبيد.
3- الحضور، فلا يجب على المسافر سواء في ذلك المسافر الذي وظيفته القصر و من كانت وظيفته الإتمام كالقاصد لإقامة عشرة أيام.
4- السلامة من المرض و العمى، فلا يجب على المريض و الأعمى.
5- عدم الشيخوخة، فلا يجب على الشيخ الكبير.
6- أن لا يكون الفصل بينه و بين المكان الذي تقام فيه الجمعة أزيد من فرسخين، كما لا يجب على من كان الحضور له حرجيا و إن لم يكن الفصل بهذا المقدار، بل لا يبعد عدم وجوب الحضور عند المطر و إن لم يكن الحضور حرجيا.

الثامن: الأحوط عدم السفر بعد زوال الشمس يوم الجمعة من بلد تقام فيه الجمعة واجدة للشرائط.
التاسع: لا يجوز التكلم أثناء اشتغال الامام بالخطبة،
و الأحوط الإصغاء إليها لمن يفهم معناها.

العاشر: يحرم البيع و الشراء بعد النداء لصلاة الجمعة إذا كانا منافيين للصلاة
و لكن الأظهر صحة المعاملة و إن كانت محرمة.

الحادي عشر: من يجب عليه الحضور إذا تركه و صلى صلاة الظهر فالأظهر صحة صلاته."
صلات الجمعة واجب على كل مؤمن وانا اعيش في منطقة للمخالفين لنا هل واجب عليا اتمام صلاة الجمعة في مسجدهم على طريقته او  اؤدي الصلاة في المنزل.,"السلام عليكم ورحمة الله وبركاته.

صلاة الجمعة في زمن غيبة الامام عليه السلام واجبة بالوجوب التخييري بمعنى انت مخير بين الاتيان بها او الاتيان بصلاة الظهر مع توفر شروط الصحة للجمعة وإلا وجبت الظهر تعيناً. 
ولا تصح الصلاة خلف غير الاثناعشري بحسب فرض السؤال مالم يكن مورد تقية."
"السلام عليكم والرحمه 
اختي تنام قبلي في الليل وانا اريد الاستغفار والصلاة على محمد وآله لكنها تنزعج من الصوت وتستيقظ من نومها فهل يصح لي الاستغفار بمجرد تحريك الشفتان من دون صوت اضافه الى انا استيقظ قبل اذان الفجر بدقيقتين تقريبا لكنها تستيقظ بعد اذان الفجر بربع ساعه تقريبا فتقول لي لماذا لا نستيقظ مع بعض لان صوت المنبه لدي يقضها فهل يصح ان أُأخر صلاتي من اجلها لنستيقظ مع بعض لاني عندما استيقظ قبلها صوت المنه يزعجها ولا تريد الاستيقاظ مرتان","وعليكم السلام ورحمه الله وبركاته

1- يجوز لكم الإخفات في حالة الذكر فلا يجب الجهر به مع صدق القراءة ولا يجوز اذيتها.
٢- يجوز لكم تأخير الصلاة لكن هذا يفوت عليكم فضل الصلاة باول الوقت وعادة صلاة الصبح يصلى بعد الأذان بربع ساعة."
سلام عليكم يجوز صلاة اليل القضاء في النهار,"وعليكم السلام 
نعم يجوز  قضاء صلاة الليل 
بل يستحب ذلك."
"السلام عليكم 
انا طالبة جامعية وبسبب الامتحانات وضيق الوقت لم اصلي صلاة الليل , فإما أن اصلي فقط الشفع والوتر او لم أصلي تماماً , وانا كنت مواظبة عليها , فماذا يترتب عليّ بعدما أكمل الامتحانات هل يجب عليّ أن اقضيها ام لا ؟","عليكم السلام 
لا يجب القضاء ولا شيء عليكِ نعم يستحب القضاء وصلاة الليل المختصرة لا تأخذ وقتا طويلا."
"السلام عليكم
مرات من نذهب للزيارة و معنا طفل و ينزل نجاسة (بول او غائط) و يصير عندنا شك انه نزل على ملابسنا ام لا ؟
 فما هو الحكم ؟","عليكم السلام
ما لم تعلم بسراية النجاسة فتبني على الطهارة ."
"السلام عليكم 
اذا شخص نوى ان يسافر إلى إيران مثلا وقرر ان يبقى هناك اكثر من ١٠ أيام ماذا يكون حكم صلاته؟","وعليكم السلام 
يتم في صلاته مع وحدة المكان وعدم التنقل."
"السلام عليكم 
اذا كنت في مدينتي ودخل وقت الصلاة وانا في طريقي للسفر لمحافظة اخرى فهل اصليها قصر ام تمام عند وصولي ؟","عليكم السلام 
تصلي قصراً اذا كنت في السفر."
"السلام عليكم..
انا مداومة على صلاة الليل والحمد لله ولكن تأتيني فترة أتركها ومن ثم اعود لها فهل يحسب لي أجر الصلاة ؟؟..علما بأنها في تفكيري وبالي ولم افكر في تركها نهائياً، نرجو الإجابة وشكرا لكم","عليكم السلام 
يحسب اجر أداء الصلاة لا وقت القطع"
"السلام عليكم ورحمه الله وبركاته
هل يجوز أن أقول في نافلة الليل الأولى نويت اصلي صلاة قضاء ما في الذمة صلاة الظهر بدل من القول نويت أن اصلي صلاة نافلة الليل أم في ذلك إشكال شرعي وفي صلاة الوتر أقول بدل من استغفر 70 مرة اقول اللهم اغفر لجميع ما خلقت في السماء والأرض وما بينهما وكذلك اعفو عن الجميع ، وادعو لـ 40 شخص في القنوت ؟","وعليكم السلام والرحمة
إذا أردت أن تصلي صلاة الليل فتصلي 8 ركعات تصليها بنية نافلة الليل (وليس قضاء ما في الذمة) ، تصليها ركعتين فركعتين بتشهد وتسليم ، ثم تصلي ركعتين بنية الشفع ثم ركعة واحدة بنية الوتر ، ويجوز الاقتصار على الشفع والوتر ، اوعلى ركعة الوتر خاصة ، ولا يشترط ذكر خاص في القنوت ، نعم يستحب في قنوت الوتر أن تستغفر لأربعين مؤمن (بأن تقول اللهم اغفر لفلان) وبعده تستغفر لنفسك (استغفر الله ربي واتوب اليه) سبعين مرة ثم تقول (هذا مقام العائذ بك من النار) سبع مرات ثم تقول ""العفو"" ٣٠٠ مرة وتتم الصلاة ."
"السلام عليكم 
صح ميصير انصلي صلاة الضهر والعصر مع بعض؟","عليكم السلام ورحمة الله وبركاته 
إذا كان معنى السؤال هو جواز الجمع بين الصلاتين ، بمعنى الإتيان بصلاة العصر بعد إكمال صلاة الظهر،فهذا جائز وصحيح"
"سلام عليكم 
صليت صلاة اليل وحصل الاشتباه في ركعتين الاخيرات بنيت على انها ركعة الثانية، واكملت الشفع والوتر هل صلاتي صحيحه؟","عليكم السلام ورحمة الله وبركاته 
١ _ يجوز في الشكّ في ركعات النافلة البناء على الأقلّ والبناء على الأكثر، إلّا أن يكون الأكثر مفسداً فيبني على الأقل"
"سلام عليكم 
سأسافر تاريخ ٢٤ فبراير و سأصلي منطقة شيراز تقريبا الظهر الساعة ١٢ تقريبا و سأرجع الى وطني تاريخ ٤ مارس العصر تقريبا يعني الإقامة لن تكون عشرة كاملة كما فهمت تقريبا ٩ ايام و لكن اريد ان اتأكد اقصر ام أتم الصلاة؟","وعليكم السلام ورحمة الله وبركاته 
حسب فرض السؤال، تصلون قصراً٠"
"السلام عليكم توجد بنت عليها العذر الشرعي لكنها وقت صلاة الظهر من قوة الإيمان صلت الظهرين نسياناً ان عليها العذر 
ماذا تفعل الان هل يغضب الله على هالشي ؟","عليكم السلام ورحمة الله وبركاته 
ليس عليها شئ
ويستحب لها أن تجلس في مصلّاها أوقات الصلاة وتذكر الله تعالى بمقدار الصلاة.

و دمتم في حفظ الله و رعايته."
"السلام عليكم
هل يكفي أذان واحد واقامة واحده لعدة صلوات متتابعه كصلاة قضاء ما في الذمه أو صلاة الظهرين و العشائين؟","عليكم السلام 
لابأس"
هل يجوز عدم ذكر اربعين مؤمن في صلاة الليل,يجوز ذلك .
"سلام عليكم 
 /اني.من اصلي صلاه الليل مثلا اول فرض اقره (الله اكبر الله اكبر اشهد ان لا اله الله واشهد انت محمد رسول الله واشهد ان علي ولي الله .....وهكذا)وبالفرض الثاني والثالث والرابع زين عادي بالفرض الثاني او الثالث ماقراه مباشرةً سورة الفاتحه","عليكم السلام ورحمة الله وبركاته

صلاة الليل لا تبدأ بالأذان كالفرائض بل ولا يشرع ذلك وإنما مبدأها التكبير ثم سورة  الفاتحة في جميع نوافلها حتى في النافلة الأولى."
"السلام عليكم 
بعد أن أصلي صلاة الليل 
أصلي ركعتين بنية الشكر، فهل يجوز ذلك؟ 
ولكم الأجر والثواب","وعليكم السلام 
يجوز ذلك."
"السلام عليكم ورحمة الله وبركاته 
اني موظف في احدى الدوائر الحكومية و وقت خط الدائرة الخامسه و النصف صباحا و وقت خروجي من المنزل الخامسه و عشرون دقيقه صباحا لبعد المسافه عن الشارع العام لذلك لا استطيع صلاة الصبح في وقتها فما حكم هذا التاخير و ما هو حل هذه المشكله مع العلم لا استطيع تغيير مكان عملي؟","وعليكم السلام ورحمة الله وبركاته 
لا تسقط الصلاة بحال من الاحوال، وتكرر عدم الصلاة في وقتها يعد من التهاون في الصلاة، ولا يجوز ترك الصلاة الى وقت انقضاء وقتها نعم يمكنكم علاج ذلك بالصلاة في وقت انتظاركم للسيارة وتخرجون من البيت بما يجعلكم يكون لديكم الوقت الكافي للصلاة عند دخول الوقت."
"السلام عليكم ورحمة وبركاته 
سوالي عن صلاة اليل واريد شرح كامل وقتهة شوكت بيدي بعد صلاة العشاء يصير بس صلاة الشفع والوتر حتى اذا بلا سبب مثل التعب أو النعاس وكيف النية والاقامة ويصير من جلوس جزاكم الله خير الجزاء وفقكم الله وشكرا","عليكم السلام 

وقت صلاة الليل يبدأ من أول الليل وإن كان الأفضل الإتيان بها بعد انتصاف الليل، وكلّما قرب السحر فهو أفضل .
وهي (١١)ركعة (٨) ركعات تصلّيها بنيّة نافلة الليل، تصلّيها ركعتين فركعتين بتشهد وتسليم ، وبعد الثمانية ركعات تصلّي ركعتين بنية الشفع، ثم ركعة واحدة بنيّة الوتر، ويجوز الاقتصار على الشفع والوتر، أو على ركعة الوتر خاصة.
و يجوز الإتيان بها وكذا غيرها من النوافل في حال المشي، كما يجوز الإتيان بها في حال الجلوس اختياراً.
ولا يشترط ذكر خاص في القنوت، نعم يستحب في قنوت الوتر أن تستغفر لأربعين مؤمناً بأن تقول: (اللهم اغفر لفلان)، وبعده تستغفر لنفسك (استغفر الله ربي و أتوب إليه) سبعين مرة، ثم تقول: (هذا مقام العائذ بك من النار) سبع مرات ثم تقول: ""العفو"" (٣٠٠) مرة ثم تركع وتسجد وتتشهد وتسلّم وتتم الصلاة.
وليس فيها إذان ولاإقامة"
"السلام عليكم ورحمة الله وبركاته 
بعد الصلاة وجدت حاجب على يدي ومتاكد ان الحاجب قبل الصلاة لكن الوقت المتبقي على شروق الشمس دقائق قليلة واذا قمت بازالته تصبح صلاتي قضاء ما الحكم جزاكم الله خيرا","عليكم السلام و رحمة الله و بركاته
يجب عليكم التيمم في مفروض السؤال واذا كان الحاجب في موضع التيمم الجمع بين الوضوء والتيمم"
السلام عليكم ورحمة الله وبركاته هل نقنت في صلاة اليلل,"السلام عليكم ورحمة الله وبركاته.
يجوز ذلك عدا ركعتا الشفع فلم يثبت فيه قنوت"
"السلام عليكم ورحمة الله 
هل يجب البقاء طوال ساعة مابين صلاة الصبح والطلوع بدون نوم او صلاة الصبح مع عمل مستحب بسيط والعودة للنوم قبل الطلوع","عليكم السلام و رحمة الله و بركاته 

لا يجب ذلك، بل تستحب العبادة في ذلك الوقت الشريف سواء كانت قضاء الصلوات الواجبة، أو الأتيان  بالصلوات المستحبة، أو قراءة القرآن الكريم والأدعية الشريفة."
"السلام عليكم ورحمة الله وبركاته 
هل يمكن لي ان اصلي صلاة الليل بعد صلاة المغرب والعشاء وإذا صليت أصليهه كامله لو بس الشفع والوتر أقصد اكدر اصلي حتى النافله ودمتم برعاية المولى","عليكم السلام ورحمة الله وبركاته 
نعم، يجوز، كما يجوز لك الاقتصار على الشفع والوتر."
السلام عليكم هل يجوز ذكر الامام المهدي عج الله فرجه من ضمن الاربعين مومن في صلاة الوتر,"عليكم السلام و رحمة الله و بركاته
لا يجوز الإستغفار للمعصوم."
"السلام عليكم ورحمه الله وبركاته
هل يجوز ان اصلي صلاة الليل قبل صلاة الفجر ب٢٠ دقيقة؟","عليكم السلام ورحمة الله وبركاته 
نعم،يجوز ذلك."
"السلام عليكم انا بنت وغير متزوجه
وعندي نزول افرازات بيضاء بشكل يوميه وعفوا تلوث الملابس
 بدون اي شهوه او تفكير باموار الجنس
 هل تبطل الصللاه
وماحكم الملابس! ?","سلام عليكم ورحمه الله وبركاته
هذه الافرازات طبيعيه وهي طاهرة والصلاة معها صحيحة"
السلام عليكم ورحمه الله وبركاته بلا زحمه في أثناء صلاة الليل (رگعه الوتر) عادي نقره القنوت مو ترتيب مثلا العفو قبل الاستغفار او العفو قبل هذا مقام العائذ بك من النار مع جزيل الشكر,"وعليكم السلام ورحمة الله وبركاته 
يجوز ذلك"
هل يجوز ان اصلي النافلة الصبح قبل صلاة الصبح مثلا بعشر دقائق او ربع ساعه,"السلام عليكم ورحمة الله وبركاته 
يجوز."
"السلام عليكم

في حديث لأحد علماءنا أنه يقرأ في ركعتين الشفع من صلاة الليل بعد الحمد سورة التوحيد في الأولى والثانية بدل المعوذتين حسب الروايات عن الحر العاملي.

جزاكم الله خيراً","وعليكم السلام ورحمة اللّٰه وبركاته
أهلاً بكم في تطبيقكم المجيب

أولاً: روى الرواية الشيخ الطوسي والصدوق مرسلة. 

ثانياً: وردت الرواية في (التهذيب)، جزء (٢)، صفحة (١٢٤)، و في (مَن لا يحضره الفقيه)، جزء (١)، صفحة (٤٨٥)، حديث (١٤٠٠). وفي (مستدرك الوسائل)، عن كتاب (الهداية)للصدوق، جزء (٤)، صفحة (٢١٢)، باب (١٤)، حديث (١). 

ثالثاً: متن الرواية هو:
""أن من قرأ في الركعتين الأولتين من صلاة الليل في كل ركعة منهما الحمد مرة وقل هو الله أحد ثلاثين مرة انفتل وليس بينه وبين الله عز وجل ذنب إلا غفر له"".


ودمتم موفقين"
السلام عليكم ، أنا صليت صلاة المغرب وقد آخرة العشاء بعد الفطور. ثم نسيت صلاة العشاء ، تذكرتها بعد منتصف الليل وصليتها ادأ ، ولم اصليها قضاء ، هل صلاتي صحيحه أم لا وشكراً,"عليكم السلام ورحمة الله وبركاته
صلاتكم صحيحة في مفروض السؤال"
السلام عليكم ما حكم صلاتي اصلي صلاة الليل قبل اذان الفجر واحيانن يئذن واني جاي اصلي وهل يجوز ان اصليه قبل الاذان,"عليكم السلام ورحمة الله وبركاته
يجوز"
"السلام عليكم 
اني چنت اعرف انو الصلاة على التربة السمراء من السجود ميصير بس بعدين گلت انو هو مو يصير نسجد على اي حتى لو ايدنه المهم شي ما ينأكل او ينلبس ف گمت اصلي عليها عادي واصلا اني جان عبالي انو تتكون طبقة بس لون اسمر مادري انو دهون تصير وبتالي تمنع فهل اعيد الصلاة اللي صليتها؟","وعليكم السلام ورحمة الله وبركاته 
لا تجب إعادة الصلاة  مع كون الشك في وجود الدهن، نعم مع اليقين من وجود الدهن وكونه حاجباً فتجب إعادة الصلاة، إلّا مع الجهل القصوري فلا تعاد."
"السلام عليكم 
هل صلاة الغفيلة
فقط في رمضان","عليكم السلام ورحمة الله وبركاته 
في كل يوم"
"السلام عليكم
هل يجوز اني انام الصبح مثلا واصحى الساعه 5 العصر وهل واجب على الاهل انهم يجلسوني للصلاه؟
وكذلك الحال لصلاة الصبح هل اذا نمت الليل يجب عليهم يجلسوني؟","عليكم السلام ورحمة الله وبركاته 
١- تأخير الصلاة عن اول وقتها وإن لم يكن حرام ولكن يفوت المكلف بذلك فضيلة أول الوقت ، وقد عد ذلك في بعض النصوص المروية عن أهل البيت (عليهم السلام) تضييعا للوقت ٠
٢-يجوز  المكلف لصلاة الصبح إلا مع العلم بعدم رضاه وتأذيه، بل يجب إذا كان متهاونا ٠"
السلام عليكم شيخنا أنا عند صلوات مامصليتهن و ماعرف هنا شكد فابهاي الحالة شنو اسوي الحمدالله أنا تبتو,"عليكم السلام ورحمة الله وبركاته 

يجب قضاء الصلاة التي فاتتك وعند الشك بين الاقل والاكثر يكفي الاقتصار على الاقل."
"السلام عليكم ورحمة الله وبركاته 
هل يجوز اصلي صلاة الفجرمن اكعد صبح في رمضان شكرا جزيلا لحضرتك الكريمة","عليكم السلام ورحمة الله وبركاته 
لا يجوز تأخير الصلاة بحيث يفوت وقتها الشرعي فتصبح قضاءً، وعندما تصبح قضاءً، يجوز قضائها في أي وقت."
بسم الله الرحمن الرحيم السلام عليكم إني اضل كاعد لصلاة الفجر وانام يعني أسهر خاصه ب شهر رمضان واكعد ب 4 أو ب5 وتفوتني صلاة الضهر عليه ذنب أو لا,"عليكم السلام ورحمة الله وبركاته 
يجوز تاخير الصلاة مادام وقت الصلاة لم ينتهِ نعم لا يجوز تأخير الصلاة إلى حد فوات وقتها.
وينبغي لك أخي المؤمن أن تصلي الصلاة في وقت فضيلته مع الإمكان ففي هذا الوقت أجر عظيم."
"السلام عليكم 
موظف يعمل في دائرة الاطفاء بشكل مفاجئ يطلب منه الذهاب الى مكان آخر نفس العمل يبقى يوم واحد ولا كن مسافة 30كم ما حكم الصلاة والصيام . علما هو غير كثير السفر .","وعليكم السلام ورحمة الله وبركاته 
تجب عليه الصلاة قصراً ولا يصح منه الصوم فيجب عليه قضاء هذا اليوم."
"السلام عليكم ورحمة الله 
سؤالي عن صلاة الليل شلون نصليها و شنو يعني نية نافلة اني اريد اصلي صلاة الليل بس ماكو فيديو يشرحها بتفصيل الممل ف ارجو منكم تعلموني شلون نصلي صلاة الليل و شكرا","عليكم السلام ورحمة الله وبركاته 

وقت صلاة الليل يبدأ من أول الليل وإن كان الأفضل الإتيان بها بعد انتصاف الليل، وكلّما قرب السحر فهو أفضل .
وهي (١١)ركعة (٨) ركعات تصلّيها بنيّة نافلة الليل، تصلّيها ركعتين فركعتين بتشهد وتسليم ، وبعد الثمانية ركعات تصلّي ركعتين بنية الشفع، ثم ركعة واحدة بنيّة الوتر، ويجوز الاقتصار على الشفع والوتر، أو على ركعة الوتر خاصة.
و يجوز الإتيان بها وكذا غيرها من النوافل في حال المشي، كما يجوز الإتيان بها في حال الجلوس اختياراً.
ولا يشترط ذكر خاص في القنوت، نعم يستحب في قنوت الوتر أن تستغفر لأربعين مؤمناً بأن تقول: (اللهم اغفر لفلان)، وبعده تستغفر لنفسك (استغفر الله ربي و أتوب إليه) سبعين مرة، ثم تقول: (هذا مقام العائذ بك من النار) س"
السلام عليكم ورحمه لله  بعض المرات اصلي صلاه الوحشه  واهديها لكل شخص دفن بذالك  اليوم وانا لا اعرفهم ولا اعرف عددهم  فقط قربى الى لله هل تصح وتصل الى المدفونين ام يجب ان اذكر اسم المتوفى,"عليكم السلام ورحمة الله وبركاته 
لامانع من ذلك برجاء المطلوبية"
السلام عليكم اذا مرات ما اصلي صلاة الليل لان ظروف هل يعتبر تهاون بصلاة الليل,"عليكم السلام ورحمة الله وبركاته 
صلاة الليل من المستحبات فإن أتيت بها فلك الأجر والثواب وأن لم تأتي بها لاشيء عليك"
"السلام عليكم 
هل يجوز ذكر الائمة المعصومين في صلاة الليل عند ذكر اربعين مؤمن ؟
اجد صعوبه في ذكر اربعين مؤمن اريد نصيحة وشكرا","السلام عليكم ورحمة اللّٰه وبركاته

يمكنك كتابة أسماء أربعين مؤمن في ورقة قراءتها في اثناء الصلاة.

دمتم برعاية اللّٰه"
السلام عليكم أنا من أصلي صلاه الليل بعد كل ركعتين اخلصهن اقره صفحتين من القران هل في ذلك أشكال,"وعليكم السلام ورحمة الله وبركاته 
لا إشكال في ذلك ولك الأجر والثواب."
"السلام عليكم 
انا صليت صلاة الليل ومن كملت اكتشفت إنُ أذن اذان الفجر فهل صلاتي مقبوله أو فيها أشكال وهل يصح هذا؟","عليكم السلام و رحمة الله و بركاته
تصح الصلاة و لا اشكال فيها."
السلام عليكم اني ساكنه ببغداد ورحت سفر لاربيل اربعه ايام بس ورجعت اني من جنت باربيل صليت يومين قصر ويومين باقيات مصليتهن كلت من ارجع لبغداد وهسه اني رجعت لبغداد الصلاه المطلوبه اليومين من جنت باربيل مصليتهن اقضيهن تمام لو قصر مثل مجانت  مع العلم اني هسه بغداد,"وعليكم السلام ورحمة الله وبركاته 
حسب الفرض تُقضى قصراً. وللتنبيه  يحرم تأخير الصلاة الواجبة عن وقتها."
"السلام عليكم ورحمة الله وبركاته 
هل يجوز نصلي صلاة الليل جهرا بالنسبة للمرأة","عليكم السلام ورحمة الله وبركاته 
يجوز في حد ذاته"
"السلام عليكم 
والدي متوفي الان 
ولكن مدة ٦ اشهر لم يصلي 
بسبب مرضه الجلطة وشلل 
لايستطيع الحركة وعفوا يرتدي حفاظة 
ماحكم الصلاة هل نستطيع ان نقضي عنه 
و مااحكام القضاء والنية ربي يوفقكم اتمنى 
تجاوبوني بأسرع وقت","عليكم السلام و رحمة الله و بركاته 
يجوز القضاء عنه بنية إفراغ ذمته ويجوز في كلّ وقت من الليل والنهار، وفي الحضر والسفر، نعم يقضي ما فاته قصراً قصراً ولو في الحضر، وما فاته تماماً تماماً ولو في السفر، وإذا كان في بعض الوقت حاضراً وفي بعضه مسافراً قضى ما وجب عليه في آخر الوقت."
"سلام عليكم
انا وعدت الله أن اصلي يوميا صلاة الليل ولكن اليون نمت مبكرا ولم استيقظ حتى فات وقت صلاة الصبح هل يجب أن أصوم 3 ايام متتالية لله ام يجب أن أفعل شي اخر لكي يسامحني ربي","عليكم السلام و رحمة الله و بركاته
لا تجب الكفارة بذلك."
"السلام عليكم 
عند دخول صلاة الفجر اكون في عملي اقود شاحنة كبيرة هل يجوز لي الصلاة على مقعد السيارة دون النزول للشارع علما اني أوقف الشاحة على جانب الطريق لكن أتم صلاتي من جلوس على مقعد السياقة هل هذا جائز او يجب علي النزول للشارع و أتم صلاتي واقف على الأرض في الوضع الطبيعي وهل صلواتي الفائتة صحيحة لان كنت أتم صلاة الفجر من جلوس على مقعد السياقة 
دمتم في حفظ الله وجعلكم الله ذخرا لاتباع ال البيت صلوات الله وسلامه عليهم","عليكم السلام و رحمة الله و بركاته 
لا يجوز ذلك،ويجب عليك القيام الواجب في الصلاة ولو بالصلاة على الأرض،ويجب عليك قضاء الصلوات السابقة التي كنت تصليها من جلوس."
"سلام عليكم
1 بالدعاء لاربعين مؤمن يصير اكول اللهم اغفر لزوجت فلان وام فلام وابو فلان لان ما اعرف اسمهم لو اله اكول اسمهم علمود اخابر واكدر احصل اسمائهم
2 شلون اكدر اذكر الامام المهدي عليه السلام في صلاة الليل
3 من اكمل الصلاة واكول هدي صلاة الليل للامام المهدي عليه السلام يعني هاي الصلاه كله اهديه للامام الي نفس الاجر ان شاء الله
4 يصير اهدي صلاة الليل لاحد الأئمه والى اشخاص عاديين من اهلي في نفس الوقت
واخيرا نرجو منكم الدعاء في قبول الاعمال والتوفيق للعمل الصالح وان شاء الله لن ننساكم في صلاة الليل","عليكم السلام و رحمة الله و بركاته
١ لا يجب ذكر الإسم صراحة و يجوز ما ذكر. 
٢ يجوز الدعاء له. 
٣ ان شاء الله تعالى لكم اجر ذلك. 
٤ يجوز ذلك
 نعم اهدائها للأحياء ان كان المقصود ثوابها فيجوز اما الإنابة عنهم فبرجاء المطلوبية. 

تقبل الله اعمالكم."
"اسلام عليكم ورحمة الله وبركاته
 اذا اريد اصلي صلاه الزيارة او صلاه الشخص متوفي لازم اقره الاذان قبل الصلاة لو بس انيه وصوره الفاتحه ولاخلاص ممكن توضيح","عليكم السلام ورحمة الله وبركاته 
الآذان والإقامة مستحبان في الصلوات الخمس الفريضة أو قضائها، ولا يستحب في غيرها ولايجوز الإتيان بهما لو قصد التشريع نعم مع الجهل القصوري لاتبطل."
"السلام عليكم
1- بـ صلاة الليل هل يجوز تكرار الاشخاص عن الاستغفار في اليوم التالي ؟
2- في ركعتين الشفع والوتر هل يجوزالتسليم والتشهد ؟
3- ومن استغفر لـ نفسي عادي مو 70 مرة ضبط 
4- وعندما اقول العفو عادي ما اكوله 300 مرة ضبط
وشكراً جزيلاً اسف على الاطالة","وعليكم السلام ورحمة الله وبركاته 
١- يجوز ذلك.
٢- تتشهد وتسلم في الشفع وكذا في الوتر.
٣- يجوز لك ذلك.
٤- يجوز لك ذلك."
السلام عليكم اني اصلي صلاه اليل ومن اخلص اگول اللهم اغفر لي ولوالدي ولاخواني وأخواتب وللمؤمنيت والنؤمنات الاحياه منهم والاموات برحمتك يا ارحم الراحمين// كلامي صح/لو لازم أذكر 40 شخص ........؟؟,"وعليكم السلام ورحمة الله وبركاته 
يجوز ذلك."
"سلام عليكم
كنت اصلي صلاه المغرب اربع ركع ولا اعلم انها ثلاث ركعات هل تنقبل صلاتي","عليكم السلام و رحمة الله و بركاته
يلزم إعادتها."
هل يجوز ان اصلي  صلات اليل   الوتر وان احسب بل مبايل مثل 300مره العفو هل يجوز انه احسبها بل مبايل وانا في القنوت,"السلام عليكم
نعم يجوز ذلك."
"السلام عليكم 
صليت صلاة المغرب والعشاء في رجاء المطلوبية ضناً مني انتهى وقت الواجب ولكن بعد الانتهاء اكتشفت لازالت الصلاة واجبة اي الساعة كانت 10 حين صليت فما حكم صلاتي؟","عليكم السلام ورحمة الله وبركاته 
الصلاة صحيحة"
